Filename,Run Count,Last Run Date
"C:\Windows\WinSxS\x86_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.2602_none_22c7668a69a9d037\TiWorker.exe",1,131892628430024507
"C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.0_none_36d3ccc3ddfd1ecb\TiWorker.exe",1,131892628193805588
